"","Fecha","Open","Close","Sentimiento_Positivo","Neutro+Negativo"
"903",2018-01-05,316.619995,316.579987,"0",1
"905",2018-01-09,335.160004,333.690002,NA,NA
"908",2018-01-12,338.630005,336.220001,NA,NA
"911",2018-01-18,345.670013,344.570007,"0",1
"914",2018-01-23,360,352.790009,NA,NA
"915",2018-01-24,354.579987,345.890015,NA,NA
"916",2018-01-25,348.269989,337.640015,"1",2
"921",2018-02-01,351,349.25,"0",1
"922",2018-02-02,348.440002,343.75,NA,NA
"923",2018-02-05,337.970001,333.130005,"1",0
"926",2018-02-08,343.309998,315.230011,NA,NA
"927",2018-02-09,319.929993,310.420013,NA,NA
"928",2018-02-12,316.130005,315.730011,NA,NA
"934",2018-02-21,336.029999,333.299988,"0",1
"938",2018-02-27,356.25,350.98999,NA,NA
"939",2018-02-28,352.570007,343.059998,"0",1
"940",2018-03-01,345.01001,330.929993,NA,NA
"943",2018-03-06,333.75,328.200012,NA,NA
"945",2018-03-08,332.859985,329.100006,"0",1
"949",2018-03-14,336.76001,326.630005,NA,NA
"950",2018-03-15,329.380005,325.600006,NA,NA
"951",2018-03-16,322.929993,321.350006,NA,NA
"952",2018-03-19,316.5,313.559998,NA,NA
"953",2018-03-20,314.869995,310.549988,"0",1
"955",2018-03-22,313.890015,309.100006,"0",2
"956",2018-03-23,311.25,301.540009,NA,NA
"957",2018-03-26,307.339996,304.179993,"0",3
"958",2018-03-27,304,279.179993,"0",2
"959",2018-03-28,264.579987,257.779999,"1",2
"961",2018-04-02,256.26001,252.479996,NA,NA
"962",2018-04-03,269.820007,267.529999,NA,NA
"965",2018-04-06,301,299.299988,NA,NA
"966",2018-04-09,300.369995,289.660004,"0",3
"969",2018-04-12,302.320007,294.079987,"0",1
"970",2018-04-13,303.600006,300.339996,"0",1
"971",2018-04-16,299,291.209991,NA,NA
"972",2018-04-17,288.869995,287.690002,NA,NA
"975",2018-04-20,295.170013,290.23999,"0",1
"976",2018-04-23,291.290009,283.369995,NA,NA
"977",2018-04-24,285,283.459991,"0",4
"978",2018-04-25,283.5,280.690002,"0",1
"989",2018-05-10,307.5,305.019989,"0",2
"990",2018-05-11,307.700012,301.059998,"0",3
"991",2018-05-14,303.320007,291.970001,"0",3
"992",2018-05-15,285.01001,284.179993,"0",2
"994",2018-05-17,285.899994,284.540009,"0",3
"995",2018-05-18,284.649994,276.820007,"1",2
"997",2018-05-22,287.76001,275.01001,"0",3
"999",2018-05-24,278.399994,277.850006,"0",3
"1003",2018-05-31,287.209991,284.730011,"2",3
"1006",2018-06-05,297.700012,291.130005,"0",7
"1008",2018-06-07,316.149994,316.089996,"0",4
"1009",2018-06-08,319,317.660004,"1",2
"1011",2018-06-12,344.700012,342.769989,"1",0
"1012",2018-06-13,346.709991,344.779999,"1",1
"1016",2018-06-19,365.160004,352.549988,NA,NA
"1018",2018-06-21,362,347.51001,"1",7
"1019",2018-06-22,351.540009,333.630005,"0",4
"1022",2018-06-27,345,344.5,"0",2
"1024",2018-06-29,353.329987,342.950012,"0",5
"1025",2018-07-02,360.070007,335.070007,"0",5
"1026",2018-07-03,331.75,310.859985,"0",1
"1027",2018-07-05,313.76001,309.160004,"0",3
"1030",2018-07-10,324.559998,322.470001,NA,NA
"1032",2018-07-12,321.429993,316.709991,"1",5
"1034",2018-07-16,311.709991,310.100006,"0",3
"1036",2018-07-18,325,323.850006,NA,NA
"1038",2018-07-20,321.230011,313.579987,"1",0
"1040",2018-07-24,304.420013,297.429993,"1",3
"1043",2018-07-27,307.25,297.179993,NA,NA
"1044",2018-07-30,295.899994,290.170013,"0",2
"1049",2018-08-06,345.459991,341.98999,"0",1
"1052",2018-08-09,365.549988,352.450012,"0",5
"1054",2018-08-13,361.130005,356.410004,"0",3
"1055",2018-08-14,358.450012,347.640015,NA,NA
"1056",2018-08-15,341.910004,338.690002,"0",2
"1057",2018-08-16,339.910004,335.450012,NA,NA
"1058",2018-08-17,323.5,305.5,NA,NA
"1065",2018-08-28,318.410004,311.859985,"0",1
"1066",2018-08-29,310.269989,305.01001,NA,NA
"1068",2018-08-31,302,301.660004,"0",3
"1069",2018-09-04,296.940002,288.950012,"0",1
"1070",2018-09-05,285.049988,280.73999,"0",2
"1071",2018-09-06,284.799988,280.950012,NA,NA
"1074",2018-09-11,279.470001,279.440002,"1",0
"1079",2018-09-18,296.690002,284.959991,NA,NA
"1081",2018-09-20,303.559998,298.329987,"0",4
"1086",2018-09-27,312.899994,307.519989,NA,NA
"1087",2018-09-28,270.26001,264.769989,NA,NA
"1089",2018-10-02,313.950012,301.019989,NA,NA
"1090",2018-10-03,303.329987,294.799988,"0",1
"1091",2018-10-04,293.950012,281.829987,"0",2
"1092",2018-10-05,274.649994,261.950012,"1",8
"1093",2018-10-08,264.519989,250.559998,"1",3
